url,title,description,urlToImage
https://www.mlive.com/lions/2019/04/repeat-after-me-tj-hockenson-is-not-eric-ebron.html,Repeat after me: T.J. Hockenson is not Eric Ebron - MLive.com,Many hate the Detroit Lions' first-round pick because Hockenson plays the same position as Ebron. But the two players are not the same.,https://www.mlive.com/resizer/3yd3y3CAlbRh9NfJc02yF5U0wVc=/1200x0/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/33PHZMEHUBHBXINZRDX3IYT7N4.jpg
https://www.miamidolphins.com/news/ac-in-the-am-christian-wilkins-selection-makes-so-much-sense,AC In The AM: Christian Wilkins Selection Makes So Much Sense - MiamiDolphins,,https://static.clubs.nfl.com/image/private/t_editorial_landscape_12_desktop/dolphins/fufru0iamy13gpxf32tz
https://www.arrowheadpride.com/2019/4/26/18517133/arrowheadlines-chiefs-must-do-some-soul-searching-after-release-of-tyreek-hill-audio,Arrowheadlines: Chiefs need “soul-searching” after Tyreek Hill audio - Arrowhead Pride,"Chiefs headlines for Friday, April 26.",https://cdn.vox-cdn.com/thumbor/EnUEnCu7pWcAolVyatI_h_7EtLQ=/0x199:2580x1550/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16193076/1097126994.jpg.jpg
https://www.freep.com/story/sports/college/university-michigan/wolverines/2019/04/26/rashan-gary-green-bay-packers/3584295002/,Rashan Gary at outside linebacker? Green Bay Packers will try it - Detroit Free Press,"The Green Bay Packers took Rashan Gary at No. 12 in the first round of the 2019 NFL draft Thursday in Nashville, Tenn.",https://www.gannett-cdn.com/-mm-/a827b45255d848c70e9f1c9909d87cc748ce0d4f/c=0-100-4091-2401/local/-/media/2019/04/26/USATODAY/usatsports/usatsi_11638297-e1556251907248.jpg?width=3200&height=1680&fit=crop
https://www.npr.org/2019/04/26/717376099/boston-celtics-great-and-hall-of-famer-john-havlicek-dies-at-79,Boston Celtics Great And Hall Of Famer John Havlicek Dies At 79 - NPR,Havlicek was voted one of the 50 greatest players in NBA history. He played 16 seasons with the Celtics — eight of them as NBA champions. Boston media report he had Parkinson's disease.,https://media.npr.org/assets/img/2019/04/26/ap_878389205017_wide-bfee8e33c792d6740e84af6f7c16c9dfaa74a812.jpg?s=1400
https://nypost.com/2019/04/26/how-dave-gettleman-broke-the-daniel-jones-pick-to-eli-manning/,How Dave Gettleman broke the Daniel Jones pick to Eli Manning - New York Post ,"The call went out to Eli Manning not exactly the same time as the Giants selected Daniel Jones with the No. 6 pick Thursday night in the NFL draft, but close to it. A franchise that has great respe…",https://thenypost.files.wordpress.com/2019/04/manning.gettleman.jones_.jpg?quality=90&strip=all&w=1200
https://www.cnn.com/2019/04/26/us/robert-kraft-video-evidence-hearing/index.html,Hearing will determine whether spa video should be used as evidence in Robert Kraft's case - CNN,A hearing will be held Friday on whether a surveillance video allegedly showing New England Patriots owner Robert Kraft during a prostitution sting should be allowed as evidence in his case.,https://cdn.cnn.com/cnnnext/dam/assets/120627062946-robert-kraft-patriots-super-tease.jpg
https://www.si.com/nfl/2019/04/26/day-2-rounds-2-3-mock-draft-drew-lock-dk-metcalf-will-grier,"Day 2 NFL Mock Draft: Where Will Drew Lock, DK Metcalf and Will Grier Land? - Sports Illustrated","Who will come off the board in Rounds 2 and 3? We're projecting four quarterbacks, five running backs and a whole lot of big names...",https://imagesvc.timeincapp.com/v3/mm/image?url=https://cdn-s3.si.com/s3fs-public/2019/04/26/day-2-mock-draft.jpg&w=1200&h=628&c=sc&poi=face&q=85
http://www.espn.com/nfl/story/_/id/26606215/de-ferrell-goes-4th-raiders-admits-surprise,"DE Ferrell goes 4th to Raiders, admits 'surprise' - ESPN",Clemson's Clelin Ferrell admitted to being surprised when the Raiders used the No. 4 overall pick on him Thursday. Oakland also took Alabama RB Josh Jacobs at No. 24 and Mississippi State safety Jonathan Abram at No. 27.,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0104%2Fr484855_1296x729_16%2D9.jpg
https://www.dailynorseman.com/2019/4/26/18517494/snap-judgments-garrett-bradbury-pick-minnesota-vikings-2019-nfl-draft,Snap Judgments of the Garrett Bradbury Pick - Daily Norseman,"The Vikings picked Garrett Bradbury #18 overall, which was widely expected according to many recent mock drafts.  I didn’t expect Bradbury to be the pick, given that the Vikings had not met with...",https://cdn.vox-cdn.com/thumbor/g1L6d_YfngKYcdee8Ok9s2pEFxk=/0x399:5568x3314/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16193055/usa_today_12590000.jpg
https://www.youtube.com/watch?v=_AwhIBTf-7E,04/25/19 Second Round: Stars @ Blues - NHL,"Extended highlights of the Dallas Stars at the St. Louis Blues For the latest, exclusive hockey action, subscribe to our channel by clicking the big, red shi...",https://i.ytimg.com/vi/_AwhIBTf-7E/maxresdefault.jpg
https://www.seahawks.com/news/seahawks-first-round-pick-l-j-collier-is-just-our-kind-of-guy,Seahawks First-Round Pick LJ Collier Is “Just Our Kind Of Guy” - Seahawks.com,Seahawks general manager John Schneider and head coach Pete Carroll discuss a busy first round of the 2019 NFL Draft.,https://static.clubs.nfl.com/image/private/t_editorial_landscape_12_desktop/seahawks/l576rbw5olzhlhuqfygv
https://www.youtube.com/watch?v=MxH2EnPyaS8,"2019 NFL Draft Round 1 Reaction & Analysis: Jones to Giants, Haskins to Washington & More - NFL",NFL Network reacts to round one of the 2019 NFL Draft. Subscribe to NFL: http://j.mp/1L0bVBu Check out our other channels: NFL Vault http://www.youtube.com/n...,https://i.ytimg.com/vi/MxH2EnPyaS8/maxresdefault.jpg
https://www.nbcsports.com/bayarea/49ers/2019-nfl-draft-first-round-grades-how-49ers-fared-nick-bosa-pick,49ers receive straight-A grades for picking Bosa No. 2 - NBCSports.com,A report card worthy of hanging on the refrigerator.,https://www.nbcsports.com/bayarea/sites/csnbayarea/files/2019/04/25/49ersgradesap.jpg
https://www.youtube.com/watch?v=IJVlDcPpSao,"NBA Top 5 Plays of the Night | April 25, 2019 - NBA","Check out the top 5 plays of the night featuring Nikola Jokic, LaMarcus Aldridge and more! The Top 5 of the night in the NBA, tailored down to the very best ...",https://i.ytimg.com/vi/IJVlDcPpSao/hqdefault.jpg
https://www.cbssports.com/nfl/news/2019-nfl-draft-everything-you-need-to-know-from-round-1-including-grades-takeaways-and-more/,"2019 NFL Draft: Everything you need to know from Round 1, including grades, takeaways and more - CBS Sports","Miss any of the action of the first round of the draft? Don't worry, we have you covered",https://sportshub.cbsistatic.com/i/r/2019/04/25/70a1cd4b-2f35-40ba-9d9a-aa1003cd72ec/thumbnail/770x433/85b8602580d6d0fbe9d6578abe56ca48/kyler-murray-draft.jpg
https://www.newyorkupstate.com/buffalo-bills/2019/04/nfl-draft-2019-sports-illustrated-gives-buffalo-bills-selection-of-ed-oliver-a-c-grade.html,NFL Draft 2019: Sports Illustrated gives Buffalo Bills' selection of Ed Oliver a C grade - newyorkupstate.com,Andy Benoit did not see the Bills' need for a defensive tackle.,https://www.newyorkupstate.com/resizer/lF1d2a7aIW45rXVoqQOHzsHRlBI=/1200x0/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/A4BU5PFGC5D2FKBMH3YTAPWI5M.jpg
