url,title,description,urlToImage
http://www.espn.com/nhl/story/_/id/26624464/stanley-cup-playoffs-daily-stars-blue-jackets-even-up,"Stanley Cup Playoffs Daily - Stars, Blue Jackets even it up - ESPN","Matt Duchene and Roope Hintz led their teams to victory Saturday. We get you caught up on those games, and preview Sunday's pair of Game 2s.",https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0428%2Fr535437_1296x729_16%2D9.jpg
https://www.mmafighting.com/2019/4/28/18521141/amidst-mixed-signals-rory-macdonald-expects-to-fight-neiman-gracie-next,"Amidst mixed signals, Rory MacDonald expects to fight Neiman Gracie next - MMA Fighting","Questioned if he still had the killer instinct, Rory MacDonald said he’s pretty sure he’ll continue on in the Bellator Grand Prix tournament.",https://cdn.vox-cdn.com/thumbor/vabF7gDTdacWFQfZbsFaOYuf0uM=/0x35:1650x899/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16197842/A44I0326_2.jpg
https://www.patspulpit.com/2019/4/28/18519536/2019-nfl-draft-recap-first-impressions-once-again-another-prototypical-new-england-patriots-draft,Draft first impression: Another typical Patriots draft - Pats Pulpit,"The Patriots once again grabbed high-character, smart, physical football players on offense and defense while creating a special teams competition at punter.",https://cdn.vox-cdn.com/thumbor/cEqT7Te86MedbmXXRVPJM46svsA=/0x320:4032x2431/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16197815/873074062.jpg.jpg
https://www.nj.com/giants/2019/04/giants-53-man-roster-projection-who-many-nfl-draft-picks-make-team-any-qb-after-eli-manning-daniel-jones.html,"Giants' 53-man roster projection: How many NFL Draft picks make team? Any QB after Eli Manning, Daniel Jones? - NJ.com",The 2019 NFL Draft is over. So is the bulk of free agency. So what will the Giants' 53-man roster look like after training camp? Here is our first educated guess.,https://www.nj.com/resizer/ILONG3yJyvFbWdJtc8o3-8cxgpA=/1200x0/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/OVOW7WYRPZCFZAFPVG2I6L6X6U.JPG
https://www.behindthesteelcurtain.com/2019/4/28/18519991/2019-nfl-draft-grades-grading-the-pittsburgh-steelers-5th-round-pick-zach-gentry-michigan-news,2019 NFL Draft: Grading the Steelers 5th round pick Zach Gentry - Behind the Steel Curtain,With the 141st pick of the 2019 NFL Draft the Pittsburgh Steelers select Michigan TE Zach Gentry,https://cdn.vox-cdn.com/thumbor/AcZZ5-7uaZyuwlP7KjVJTvxIEJ0=/0x294:2658x1686/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16197205/usa_today_10442001.jpg
https://edition.cnn.com/2019/04/28/sport/london-marathon-eliud-kipchoge-mo-farak-spt-intl/index.html,Eliud Kipchoge wins a record fourth London Marathon - CNN,Kenyan athlete Eliud Kipchoge stormed to victory in the London Marathon Sunday to become the first man to win the event four times and set a new course record in the process.,https://cdn.cnn.com/cnnnext/dam/assets/190428122717-marathon-kipchoge-super-tease.jpg
http://profootballtalk.nbcsports.com/2019/04/28/freddie-kitchens-duke-johnson-asking-for-a-trade-doesnt-matter-to-me/,Freddie Kitchens: Duke Johnson asking for a trade doesn’t matter to me - NBC Sports,"After Browns running back Duke Johnson asked to be traded, Browns General Manager John Dorsey channeled Tommy Lee Jones and essentially said, I don’t care. Browns coach Freddie Kitchens feels the same way. “At this point in time, him asking for a trade doesn’…",https://nbcprofootballtalk.files.wordpress.com/2019/04/gettyimages-848527774-e1556449883498.jpg
https://www.sbnation.com/nfl/2019/4/28/18519902/nfl-draft-final-grades-2019-winners-losers-teams,"The final 2019 NFL Draft grades, by team - SB Nation","The Broncos, Jaguars, and Washington were big winners. The same can’t be said for the Giants and Raiders.",https://cdn.vox-cdn.com/thumbor/H44trpkFdLihiuBLfttZ5r6cWRk=/0x368:3504x2203/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16197040/1145132804.jpg.jpg
https://www.cincyjungle.com/2019/4/28/18519224/bengals-draft-grades-jonah-williams-viewed-as-a-home-run,Bengals draft grades: Jonah Williams viewed as a home run by most experts - Cincy Jungle,"The Bengals added a player who will likely be a starter for a very long time, and draft evaluators couldn’t be happier for them.",https://cdn.vox-cdn.com/thumbor/MK-dqfrhc0KFGHLjNCThbvFEor0=/0x169:4511x2531/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16192889/usa_today_12589523.jpg
https://lettermenrow.com/ohio-state-football/ohio-state-football-quarterbacks-depth-chart-buckeyes-transfer/,Ohio State: Ryan Day solved QB depth disaster in hurry for Buckeyes - Lettermen Row,Ohio State’s fears of a worst-case scenario at the quarterback position — and the College Football Playoff hopes tied to it — lasted all of 10 days. Some fortuitous availability helped. But what Buckeyes coach Ryan Day pulled off to fix a major hole in the mo…,"https://res.cloudinary.com/lettermen-row/image/upload/c_crop,h_600,w_1000,x_0,y_0/v1532704067/Ryan-Day-2_j455kn.jpg"
https://www.windycitygridiron.com/2019/4/28/18520975/chicago-bears-free-agency-draft-mocks-offseason-second-wave-pace-nagy-undrafted-free-agents-signed,"Chicago Bears News: April 28, 2019 - Windy City Gridiron","The 2019 Draft is done, and UDFA madness has come and gone, there are a bunch of new Bears to learn about",https://cdn.vox-cdn.com/thumbor/cP1fgUQJsA0AS8WWvFzp4ZBqZWs=/0x334:5136x3023/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13716521/usa_today_12055592.jpg
https://edition.cnn.com/2019/04/28/europe/trieste-marathon-african-runners-ban-scli-intl/index.html,Trieste half-marathon organizers spark outrage after banning African runners - CNN,Organizers of an Italian half-marathon have backed down after their decision to ban African athletes from participating sparked outrage and led to allegations of racism.,https://cdn.cnn.com/cnnnext/dam/assets/190428100039-2016-olympics-marathon-super-tease.jpg
